phrase;font_family;size;color_hex;style_tag;overrides
15;HypatiaSansPro;11;#ec008c;bold;
3;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Recopie les phrases qui;HypatiaSansPro;13;#231f20;bold;
contiennent le même verbe.;HypatiaSansPro;13;#231f20;bold;
a. Je regarde un album avant de;HypatiaSansPro;13;#231f20;regular;a.|HypatiaSansPro|13|#ec008c|bold
m’endormir.;HypatiaSansPro;13;#231f20;regular;
b. Nicolas observe les étoiles.;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold
c. Ma mère regarde un documentaire à la;HypatiaSansPro;13;#231f20;regular;c.|HypatiaSansPro|13|#ec008c|bold
télévision.;HypatiaSansPro;13;#231f20;regular;
d. Nous regardons un film le samedi soir.;HypatiaSansPro;13;#231f20;regular;d.|HypatiaSansPro|13|#ec008c|bold
e. Il a un regard triste.;HypatiaSansPro;13;#231f20;regular;e.|HypatiaSansPro|13|#ec008c|bold
f. Elle a vu ce nouveau film hier.;HypatiaSansPro;13;#231f20;regular;f.|HypatiaSansPro|13|#ec008c|bold
4;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Relève tous les verbes du texte.;HypatiaSansPro;13;#231f20;bold;
Le chat fait sa toilette plusieurs fois par;HypatiaSansPro;13;#231f20;regular;
jour. Il lèche ses pattes longuement et frotte;HypatiaSansPro;13;#231f20;regular;
ses oreilles plusieurs fois. Puis il nettoie le;HypatiaSansPro;13;#231f20;regular;
reste de son pelage. Il n’aime pas qu’on le;HypatiaSansPro;13;#231f20;regular;
dérange pendant cette opération. Ensuite, il;HypatiaSansPro;13;#231f20;regular;
dévore ses croquettes !;HypatiaSansPro;13;#231f20;regular;
5 Remplace les verbes en gras par;HypatiaSansPro;13;#231f20;bold;5 |HelveticaNeueLTStd|11.6767|#ffffff|regular||un||0|#000000|regular
un verbe de la liste.;HypatiaSansPro;13;#231f20;bold;
se repose reste s’abrite perd;HypatiaSansPro;13;#231f20;regular;
a. La couleuvre se protège du froid sous un;HypatiaSansPro;13;#231f20;regular;a.|HypatiaSansPro|13|#ec008c|bold||se|HypatiaSansPro|13|#231f20|bold||protège|HypatiaSansPro|13|#231f20|bold
rocher.;HypatiaSansPro;13;#231f20;regular;
b. Elle dort tout l’hiver.;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold||dort|HypatiaSansPro|13|#231f20|bold
